init;end
281759312124087;281759312174087
281942351953928;281942352003928
282255746567259;282255748701867
282256333759309;282256333759310
283194742706143;283194775876188
283403648123867;283403648173867
283403779774646;283403779824646
283403981181040;283403981231040
284389971429705;284389973167332
284602769950000;284602770000000
284602770100000;284602770150000
284602770250000;284602770300000
284602770400000;284602770450000
284602770650000;284602770700000
284602770800000;284602770850000
284602770950000;284602771000000
284602771100000;284602771150000
284602771250000;284602771300000
285292037005923;285292037055923
285292193845923;285292193875923
285530234459830;285530234599830
285530883277743;285530883406232
285532203045364;285532203095364
285533147688258;285533147738258
285783195183783;285783228512758
285783228612758;285783229678242
285783229678242;285783229964757
286661746402009;286661746591658
287172122159510;287172124173833
287442969749340;287442970186560
287875118509002;287875119920616
287875120070616;287875120509002
288133849730682;288133851594988
288718668820108;288718668870108
289339419243610;289339419293610
289431280122653;289431281122653
289948910233335;289948910753240
290153211559647;290153211609647
290153245041215;290153245295156
290153491007873;290153491057873
291208886257540;291208886307540
291228932582532;291228932744051
291228937575439;291228937625439
291229128492741;291229128572741
291563724596635;291563724646635
291563724646635;291563724696635
291592663090078;291592665172078
291816784699444;291816784699445
291816788699444;291816873545593
293414433613177;293414433663177
294565364015280;294565364065280
294565835316694;294565836012239
294565838789511;294565838936568
295133813574980;295133813574981
296001903631766;296002145649815
296196238901622;296196238951622
296405453565842;296405454565842
296452305450624;296452305821962
296743960660540;296743960710540
296743960760540;296743960810540
296744945492522;296744945542522
296988080960351;296988090760350
298567416150000;298567416200000
298567426200000;298567426250000
298567436250000;298567436300000
298890138580831;298890138726431
298890611183177;298890611233177
298890611991397;298890612041397
299127488916988;299127489316987
300445185984782;300445186082873
300445569020846;300445570074844
300541282194138;300541282304038
303185149500129;303185150842970
305543077925645;305543081433645
305544474605664;305544474655664
305544874545053;305544874595053
305544972635674;305544972685674
306091979309967;306092089089967
306188090518741;306188119110000
306818258399784;306818258487600
307649918639007;307649918941006
307991732407706;307991732507706
308732564486508;308732564695674
309064062732965;309064064231514
309064661958189;309064662008189
309268201618030;309268201668030
309268201668030;309268201718030
309326649736100;309326649786100
309885478481795;309885478531795
311073947183398;311073947233398
311666909494688;311666910471874
311666915486256;311666916239798
313839057898947;313839057948947
313839335095449;313839335165762
314054956747977;314054956791403
314364080965634;314364081415633
314364381041505;314364381091505
314364398665190;314364398715190
314364400865196;314364400949214
315882449041119;315882449214159
316543659085602;316543659135602
316543659135602;316543659185602
316760701827810;316760705827810
316760709925610;316760712575610
316760738537081;316760739525620
316824399811164;316824409749644
317079338934271;317079339034271
318257177677604;318257177727604
320253803898447;320253804524133
321213173932901;321213174844312
321213175148873;321213175525568
321213225178515;321213232082900
321213329229210;321213333406860
321589518668644;321589518718644
322227718989990;322227718990000
322269433007722;322269434007722
322750258058518;322750258200923
322750267542572;322750267542573
322984452567836;322984454226215
323112115767365;323112137839797
324343166800000;324343175022600
324394862697065;324394862697066
327768777143158;327768797143158
329279483728160;329279484324493
329283516590877;329283516690877
330879312794461;330879312844461
330906106323308;330906107773308
331209837445974;331209837495974
331621451114756;331621451164756
332078578982523;332078636014430
334495297204533;334495299951613
336247734561547;336247734611547
338643007587613;338643010137613
338643011172871;338643011901167
338643332382060;338643332432060
338643956534701;338643957305541
340291937874855;340291937877151
340932145271142;340932235623158
341489094755800;341489098167683
341754067899990;341754114675519
342025939623906;342025939822476
342441343216464;342441344272464
343045672898896;343045672898897
343070265255534;343070269135840
344079098614088;344079422077477
344375233011364;344375233061364
344375235011364;344375235061364
344375236011364;344375236061364
344375237011364;344375237061364
344582181017802;344582331623228
